"Period", "Exporter", "Trade Value", "Net Weight",
"1997", "Malaysia", "$49,449,953", "25,160,369,738",
"1997", "USA", "$5,270,310", "9,378,308",
"1997", "Australia", "$2,153,449", "57,064,878",
"1997", "Japan", "$777,447", "5,937,308",
"1997", "South Africa", "$301,691", "1,244,250",
"1997", "China", "$157,379", "913,925",
"1997", "Other Asia", "$144,375", "487,699",
"1997", "Canada", "$118,705", "192,230",
"1997", "Philippines", "$109,006", "992,074",
"1997", "Belgium-Luxembourg", "$84,816", "240,316",
"1997", "United Kingdom", "$73,705", "164,699",
"1997", "Netherlands", "$69,547", "237,789",
"1997", "Germany", "$53,045", "134,398",
"1997", "Viet Nam", "$52,797", "395,078",
"1997", "South Korea", "$47,393", "102,000"
"1997", "France", "$47,149", "59,000",
"1997", "India", "$18,158", "80,000",
"1997", "Hong Kong", "$13,743", "20,761",
"1997", "Thailand", "$10,671", "51,000",
"1997", "UAE", "$1,708", "19,101",
"1997", "Switzerland", "$681", "1,000",
"1997", "Italy", "$517", "1,125",
"1998", "Malaysia", "$16,544,074", "14,672,200,704",
"1998", "USA", "$4,180,889", "7,174,937",
"1998", "Australia", "$1,983,665", "70,110,184",
"1998", "Germany", "$428,774", "487,250",
"1998", "China", "$168,729", "670,761",
"1998", "Japan", "$157,061", "501,882",
"1998", "France", "$124,365", "232,409",
"1998", "Other Asia", "$94,290", "314,026",
"1998", "Philippines", "$84,864", "677,812",
"1998", "South Africa", "$73,060", "346,437",
"1998", "Belgium-Luxembourg", "$61,202", "246,578",
"1998", "United Kingdom", "$42,333", "129,699",
"1998", "Viet Nam", "$29,907", "515,000",
"1998", "Other Europe", "$20,362", "3,400,000",
"1998", "India", "$17,336", "120,000",
"1998", "Saudi Arabia", "$14,581", "24,750",
"1998", "Thailand", "$12,247", "65,199",
"1998", "Netherlands", "$9,651", "35,710",
"1998", "New Zealand", "$3,121", "21,000",
"1998", "South Korea", "$1,981", "4,500",
"1998", "Sweden", "$544", "2,000",
"1999", "Malaysia", "$70,162,088", "74,200,501,000",
"1999", "USA", "$2,481,467", "4,275,000"
"1999", "Australia", "$1,353,471", "51,325,000",
"1999", "France", "$373,091", "548,000",
"1999", "Japan", "$181,739", "689,000",
"1999", "Netherlands", "$141,634", "418,000",
"1999", "Other Asia", "$101,765", "227,000",
"1999", "Belgium", "$92,497", "357,000",
"1999", "United Kingdom", "$76,833", "225,000",
"1999", "China", "$71,546", "732,000",
"1999", "Germany", "$39,286", "81,000",
"1999", "Viet Nam", "$37,083", "655,000",
"1999", "Spain", "$10,685", "34,000",
"1999", "Thailand", "$8,007", "60,000",
"1999", "Philippines", "$5,715", "60,000",
"1999", "South Korea", "$5,433", "8,000",
"1999", "Hong Kong", "$2,383", "4,000",
"1999", "New Zealand", "$1,632", "18,000",